full_name,email,returned,churn_probability
"Allie, Armando",armando.allie@cox.net,False,99.0
"Berens, Ashely",ashely.berens@yahoo.com,False,100.0
"Carmouche, Ambrose",ambrose.carmouche@verizon.net,False,61.0
"Chess, Amira",amira.chess@aol.com,False,38.0
"Connally, Angelia",angelia.connally@yahoo.com,False,100.0
"Cunniff, Alphonse",alphonse.cunniff@gmail.com,True,49.0
"Drown, Anisa",anisa.drown@aol.com,True,15.0
"Gunnels, Alecia",alecia.gunnels@charter.net,False,96.0
"Henning, Andrew",andrew.henning@yahoo.com,True,12.0
"Hwang, Amiee",amiee.hwang@hotmail.com,False,16.0
"Keely, Angelyn",angelyn.keely@ibm.com,True,33.0
"Kort, Allyn",allyn.kort@msn.com,False,61.0
"Mendes, Aline",aline.mendes@hotmail.com,False,100.0
"Mulcahy, Alexander",alexander.mulcahy@sbcglobal.net,True,22.0
"Paden, Andrew",andrew.paden@yahoo.com,False,66.0
"Pavlik, Althea",althea.pavlik@gmail.com,False,100.0
"Plasencia, Ahmed",ahmed.plasencia@gmail.com,False,100.0
"Rodarte, Alfonzo",alfonzo.rodarte@gmail.com,False,96.0
"Smythe, Arlene",arlene.smythe@comcast.net,False,97.0
"Stelzer, Angelika",angelika.stelzer@yahoo.ca,True,60.0
"Stephenson, Alphonso",alphonso.stephenson@microsoft.com,True,20.0
"Strothers, Alaine",alaine.strothers@btinternet.com,True,50.0
"Takacs, Anthony",anthony.takacs@yahoo.co.uk,False,93.0
"Templeton, Aide",aide.templeton@gmail.com,False,41.0
"Tyson, Antionette",antionette.tyson@gmail.com,False,97.0
"Uchida, Andrea",andrea.uchida@aol.com,True,31.0
"Wetzel, Abraham",abraham.wetzel@gmail.com,True,16.0
"Whitmire, Alva",alva.whitmire@yahoo.com,False,98.0
"Brand, Andrew",andrew.brand@sbcglobal.net,True,17.0
"Coburn, Alton",alton.coburn@bp.com,True,51.0
"Delvalle, Asley",asley.delvalle@msn.com,True,10.0
"Friley, Anastacia",anastacia.friley@gmail.com,False,100.0
"Gholson, Angelica",angelica.gholson@gmail.com,False,60.0
"Halbert, Adela",adela.halbert@hotmail.com,False,34.0
"Hanscom, Ali",ali.hanscom@rediffmail.com,True,62.0
"Hubler, Adolfo",adolfo.hubler@aol.com,False,100.0
"Hupp, Alden",alden.hupp@gmail.com,True,39.0
"Ishmael, Alexis",alexis.ishmael@aol.com,False,94.0
"Karam, Alvaro",alvaro.karam@gmail.com,True,2.0
"Lansford, Annabell",annabell.lansford@gmail.com,False,100.0
"Matsumoto, Angelique",angelique.matsumoto@btinternet.com,True,44.0
"Mcgrath, Aron",aron.mcgrath@gmail.com,False,96.0
"Riordan, Amada",amada.riordan@hotmail.com,True,4.0
"Schaper, Angila",angila.schaper@yahoo.com,False,49.0
"Steel, Akilah",akilah.steel@yahoo.com,False,56.99999999999999
"Teal, Alleen",alleen.teal@gmail.com,False,97.0
"Tieman, Ashley",ashley.tieman@yahoo.co.uk,False,98.0
"Wolter, Armand",armand.wolter@yahoo.com,True,16.0
"Bordeaux, Aron",aron.bordeaux@hotmail.com,False,100.0
"Card, Antione",antione.card@bellsouth.net,False,37.0
"Carrizales, Arthur",arthur.carrizales@gmail.com,False,94.0
"Chambliss, Athena",athena.chambliss@aol.com,False,62.0
"Church, Alida",alida.church@ibm.com,True,33.0
"Close, Almeda",almeda.close@gmail.com,False,99.0
"Corona, Adah",adah.corona@yahoo.com,False,100.0
"Cumbie, Ayana",ayana.cumbie@yahoo.com,True,36.0
"Dantonio, Angelo",angelo.dantonio@microsoft.com,True,20.0
"Darnell, Alphonse",alphonse.darnell@shell.com,True,37.0
"Feliciano, Ali",ali.feliciano@gmail.com,False,100.0
"Futrell, Andy",andy.futrell@hotmail.com,False,98.0
"Higa, Anjanette",anjanette.higa@gmail.com,True,37.0
"Huhn, Alice",alice.huhn@comcast.net,True,15.0
"Krull, Adalberto",adalberto.krull@yahoo.com,True,7.000000000000001
"Macias, Annetta",annetta.macias@hotmail.com,False,98.0
"Madore, Angelo",angelo.madore@hotmail.com,True,49.0
"Mcclendon, Anthony",anthony.mcclendon@yahoo.com,False,97.0
"Mckinstry, Agustin",agustin.mckinstry@hotmail.com,True,65.0
"Moldenhauer, Ariane",ariane.moldenhauer@hotmail.com,False,86.0
"Nesler, Ailene",ailene.nesler@comcast.net,False,98.0
"Parkhurst, Aimee",aimee.parkhurst@bellsouth.net,False,46.0
"Parman, Ariel",ariel.parman@aol.com,True,59.0
"Pasco, Alden",alden.pasco@outlook.com,False,56.00000000000001
"Putnam, Angelo",angelo.putnam@gmail.com,False,96.0
"Pyne, Alton",alton.pyne@yahoo.com,False,97.0
"Ratliff, Anne",anne.ratliff@shaw.ca,True,11.0
"Sammons, Afton",afton.sammons@hotmail.com,True,0.0
"Stephan, Amy",amy.stephan@ntlworld.com,True,32.0
"Studebaker, Arlen",arlen.studebaker@yahoo.com,False,53.0
"Talbert, Alex",alex.talbert@rediffmail.com,False,99.0
"Taranto, Abby",abby.taranto@gmail.com,False,100.0
"Tesch, Alex",alex.tesch@aol.com,False,96.0
"Womack, Anthony",anthony.womack@sbcglobal.net,False,100.0
"Wynne, Annalisa",annalisa.wynne@sbcglobal.net,False,82.0
"Alatorre, Adan",adan.alatorre@sbcglobal.net,True,82.0
"Barnwell, Alexa",alexa.barnwell@aol.com,False,98.0
"Beals, Angelia",angelia.beals@yahoo.com,False,96.0
"Bedgood, Antwan",antwan.bedgood@shaw.ca,False,94.0
"Brackman, Anibal",anibal.brackman@gmail.com,False,47.0
"Buzard, Andreas",andreas.buzard@msn.com,False,77.0
"Corry, Alejandra",alejandra.corry@bellsouth.net,False,100.0
"Culp, Ashley",ashley.culp@comcast.net,False,47.0
"Delao, Alfreda",alfreda.delao@aol.com,False,98.0
"Delia, Arnette",arnette.delia@gmail.com,False,98.0
"Dummer, Al",al.dummer@charter.net,True,0.0
"Dunavant, Ayesha",ayesha.dunavant@aol.com,True,18.0
"Dunne, Adam",adam.dunne@verizon.net,True,19.0
"Eller, Arnita",arnita.eller@yahoo.com,True,68.0
"Heinen, Arnetta",arnetta.heinen@hotmail.com,True,33.0
"Hertz, Astrid",astrid.hertz@charter.net,True,8.0
"Hohl, Austin",austin.hohl@aol.com,False,99.0
"Leedom, Adalberto",adalberto.leedom@yahoo.com,True,14.000000000000002
"Linden, Adela",adela.linden@gmail.com,True,18.0
"Luczak, Andre",andre.luczak@aol.com,True,31.0
"Meinhardt, Alicia",alicia.meinhardt@gmail.com,True,87.0
"Perez, Alisha",alisha.perez@yahoo.com,False,93.0
"Pless, Ahmed",ahmed.pless@gmail.com,False,72.0
"Purser, Ada",ada.purser@shell.com,True,31.0
"Remaley, Alvaro",alvaro.remaley@gmail.com,False,64.0
"Ritter, Angelita",angelita.ritter@bp.com,True,10.0
"Rozell, Andrew",andrew.rozell@hotmail.com,True,0.0
"Terrazas, Alica",alica.terrazas@hotmail.co.uk,False,100.0
"Waugh, Antone",antone.waugh@gmail.com,True,38.0
"Anderton, Alfonso",alfonso.anderton@bellsouth.net,False,97.0
"Armstrong, Alise",alise.armstrong@aol.com,False,97.0
"Beeks, Alfonso",alfonso.beeks@rediffmail.com,False,62.0
"Bhatia, Apryl",apryl.bhatia@hotmail.com,False,98.0
"Botkin, Alphonso",alphonso.botkin@hotmail.com,True,13.0
"Delee, Arnette",arnette.delee@hotmail.com,False,97.0
"Drown, Antonette",antonette.drown@microsoft.com,True,66.0
"Dykes, Arline",arline.dykes@aol.com,False,98.0
"Fine, Andreas",andreas.fine@btinternet.com,False,99.0
"Halvorsen, Alta",alta.halvorsen@yahoo.com,True,4.0
"Hutsell, Alton",alton.hutsell@gmail.com,True,52.0
